filename,abs_path,relative_path,code_content,has_error_label,label,error_description
coding_loop_with_wrong_increment.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_loop_with_wrong_increment.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_loop_with_wrong_increment.cpp,"#include <Arduino.h>

void setup() {
  Serial.begin(115200);
}
void loop() {
  for(int i = 10; i > 0; i++) {} // Infinite loop!
}
",True,coding error,coding loop with wrong increment error
coding_missing_braces.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_missing_braces.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_missing_braces.cpp,"#include <Arduino.h>

int x = 5;
void setup() {}
void loop() {
  if(x > 0)
    Serial.println(""Positive"");
    Serial.println(""More""); 
}
",True,coding error,coding missing braces error
coding_missing_return_statement.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_missing_return_statement.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_missing_return_statement.cpp,"#include <Arduino.h>

int calculate() {
  int result = 5 + 5;
  // Missing return statement!
}
void setup() {
  int x = calculate();
}
void loop() {}
",True,coding error,coding missing return statement error
coding_nothing_in_setup.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_nothing_in_setup.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_nothing_in_setup.cpp,"#include <Arduino.h>
#include <ZebraScreen.h>

void setup() {}
void loop() {
  Wire.begin(); // Should be in setup!
  ZebraScreen screen(0);
  screen.begin();
  screen.write(""Hello"");
}
",True,coding error,coding nothing in setup error
coding_random_starting_value.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_random_starting_value.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_random_starting_value.cpp,"#include <Arduino.h>

int counter;
void setup() {}
void loop() {
  counter++; // Random starting value!
}
",True,coding error,coding random starting value error
coding_random_starting_value2.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_random_starting_value2.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_random_starting_value2.cpp,"#include <Arduino.h>

float distance;
void setup() {}
void loop() {
  distance = distance + 1.0; // Random start!
}
",True,coding error,coding random starting value2 error
coding_random_starting_value3.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_random_starting_value3.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_random_starting_value3.cpp,"#include <Arduino.h>

bool running;
void setup() {}
void loop() {
  if(running) {} // Undefined!
}
",True,coding error,coding random starting value3 error
coding_same_name_variables.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_same_name_variables.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_same_name_variables.cpp,"#include <Arduino.h>


int value = 5;
void setup() {
  float value = 3.14; 
  Serial.begin(115200);
}
void loop() {
  Serial.println(value); // Which one?
}
",True,coding error,coding same name variables error
coding_semicolon_afterIf.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_semicolon_afterIf.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_semicolon_afterIf.cpp,"#include <Arduino.h>

int dist = 100;
void setup() {}
void loop() {
  if(dist < 50); // Extra semicolon!
    { /* This always runs! */ }
}
",True,coding error,coding semicolon afterIf error
coding_static_variable_confusion.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_static_variable_confusion.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_static_variable_confusion.cpp,"#include <Arduino.h>

void printCount() {
  static int count = 0;
  count++;
  Serial.println(count);
}
void setup() {
  Serial.begin(115200);
  printCount();
  count = 0; 
}
void loop() {}
",True,coding error,coding static variable confusion error
coding_using_variable_before_assignment.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_using_variable_before_assignment.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_using_variable_before_assignment.cpp,"#include <Arduino.h>

int speed;
void setup() {
  Serial.begin(115200);
  Serial.println(speed); // Undefined!
  speed = 50;
}
void loop() {}
",True,coding error,coding using variable before assignment error
coding_using_wrong_baudrate.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_using_wrong_baudrate.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_using_wrong_baudrate.cpp,"#include <Arduino.h>

void setup() {
  Serial.begin(9600); // Should be
  Serial.println(""Hello"");
}
void loop() {}
",True,coding error,coding using wrong baudrate error
coding_using_wrong_operator.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_using_wrong_operator.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_using_wrong_operator.cpp,"#include <Arduino.h>

int a = 5, b = 10;
void setup() {}
void loop() {
  if(a > 0 & b > 0) {} // Should be &&
}
",True,coding error,coding using wrong operator error
coding_variable_not_in_scope.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_variable_not_in_scope.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_variable_not_in_scope.cpp,"#include <Arduino.h>

void setup() {}
void loop() {
  for(int i = 0; i < 10; i++) {}
  Serial.println(i); // i not in scope!
}
",True,coding error,coding variable not in scope error
coding_variable_not_in_scope2.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_variable_not_in_scope2.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_variable_not_in_scope2.cpp,"#include <Arduino.h>

void setup() {
  if(true) {
    int temp = 25;
  }
  Serial.begin(115200);
  Serial.println(temp); // Not in scope!
}
void loop() {}
",True,coding error,coding variable not in scope2 error
coding_wrong_loop_condition.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_wrong_loop_condition.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_wrong_loop_condition.cpp,"#include <Arduino.h>
void setup(){
for(int i = 0; i < 10; i--) { // i decreases!
  Serial.println(i);
}
}
",True,coding error,coding wrong loop condition error
coding_wrong_operator.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_wrong_operator.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_wrong_operator.cpp,"#include <Arduino.h>

int sensor = 5;
void setup() {}
void loop() {
  if(sensor =! 0) {} // Should be !=
}
",True,coding error,coding wrong operator error
coding_wrong_operator2.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_wrong_operator2.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_wrong_operator2.cpp,"#include <Arduino.h>

int speed;
void setup() {
  speed == 50; // Should be =
}
void loop() {}
",True,coding error,coding wrong operator2 error
coding_wrong_operator3.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_wrong_operator3.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_wrong_operator3.cpp,"#include <Arduino.h>
// MISTAKE 142
// Using single | instead of ||
bool flag1 = true, flag2 = false;
void setup() {}
void loop() {
  if(flag1 | flag2) {} // Should be ||
}
",True,coding error,coding wrong operator3 error
coding_wrong_port.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_wrong_port.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_wrong_port.cpp,"#include <Arduino.h>
#include <ZebraColour.h>
#include <ZebraTOF.h>


ZebraTOF tof(2);
ZebraColour color(2); // Same port!
void setup() {
  Wire.begin();
  tof.begin();
  color.begin(); // Conflict!
}
void loop() {}
",True,coding error,coding wrong port error
coding_wrong_serial_function.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_wrong_serial_function.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/coding_wrong_serial_function.cpp,"#include <Arduino.h>

void setup() {
  Serial.begin(115200);
  Serial.write(""Hello""); // Should use println
}
void loop() {}
",True,coding error,coding wrong serial function error
notUsingArgumentInFunction.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/notUsingArgumentInFunction.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/notUsingArgumentInFunction.cpp,"// Note: partial code shown — see full context in corresponding image
void forward(float g) {
    int gyro = 30;
    angle = (int)(0.8 * (gyro - (offsetangle)));  // Steering correction
    int pos = 95 - angle;                          // Servo position
    myservo.write(pos);
    motor.run_motor(1, 80);                        // Run motor forward
}
",False,no error,No labeled error
notUsingArgumentInFunction_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/notUsingArgumentInFunction_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/notUsingArgumentInFunction_solution.cpp,"// Note: partial code shown — see full context in corresponding image
void forward(float g) {
    angle = (int)(0.8 * (g - (offsetangle)));  // Steering correction
    int pos = 95 - angle;                       // Servo position
    myservo.write(pos);
    motor.run_motor(1, 80);                     // Run motor forward
}
",False,no error,No labeled error
serialprintuse.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/serialprintuse.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/serialprintuse.cpp,"// Note: partial code shown — see full context in corresponding image
#include <Arduino.h>
#include <ZebraGyro.h>
#include ""SMotor2.h""
#include ""ZebraServo.h""

ZebraGyro gyro(7, 2);  // Port 7, interrupt pin 2
SMotor2 motor(2);
ZebraServo servo(1);

void setup() {
    Serial.begin(115200);
    delay(2000);
    Serial.println(""Starting ZebraGyro..."");
    gyro.begin();
    motor.begin();
    servo.begin();
}

void loop() {
    gyro.update();
    Serial.print(""Yaw: "");
    Serial.println(gyro.getYaw());
    servo.run_angles(90);
    while (gyro.getYaw()<90)
    {
        gyro.update();
        Serial.print(""Yaw: "");
        Serial.println(gyro.getYaw());
        servo.run_angles(45);
        Serial.println(""servo is at 45"");
        motor.run_motor(40);
        Serial.println(""motor is moving"");
    }
    motor.stop_motor();
    delay(500);
    gyro.resetYaw();
}
",False,no error,No labeled error
serialprintuse_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/serialprintuse_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/serialprintuse_solution.cpp,"// Note: partial code shown — see full context in corresponding image
#include <Arduino.h>
#include <ZebraGyro.h>
#include ""SMotor2.h""
#include ""ZebraServo.h""

ZebraGyro gyro(7, 2);  // Port 7, interrupt pin 2
SMotor2 motor(2);
ZebraServo servo(1);

void setup() {
    Serial.begin(115200);
    delay(2000);
    Serial.println(""Starting ZebraGyro..."");
    gyro.begin();
    motor.begin();
    servo.begin();
}

void loop() {
    gyro.update();
    servo.run_angles(90);
    while (gyro.getYaw()<90)
    {
        gyro.update();
        servo.run_angles(45);
        motor.run_motor(40);
    }
    motor.stop_motor();
    delay(500);
    gyro.resetYaw();
}
",False,no error,No labeled error
usingwrongbaudrate.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/usingwrongbaudrate.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/usingwrongbaudrate.cpp,"// Note: partial code shown — see full context in corresponding image
void setup() {
    Serial.begin(9600);
    Wire.begin();

    sensor.begin();
    motor.begin();
    steering.begin();

    steering.run_angles(90);
    delay(2000);
}
",False,no error,No labeled error
usingwrongbaudrate_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/usingwrongbaudrate_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/usingwrongbaudrate_solution.cpp,"// Note: partial code shown — see full context in corresponding image
void setup() {
    Serial.begin(115200);
    Wire.begin();

    sensor.begin();
    motor.begin();
    steering.begin();

    steering.run_angles(90);
    delay(2000);
}
",False,no error,No labeled error
wrongOperator.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/wrongOperator.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/wrongOperator.cpp,"// Note: partial code shown — see full context in corresponding image
void loop() {
  // Turn right until 90 degrees
  Serial.println(""Turning to 90 degrees..."");

  gyro.update();
  while (gyro.getYaw() == 90) {
    gyro.update();
    leftMotor.run_motor(50);   // Left motor forward
    rightMotor.run_motor(-50); // Right motor backward

    Serial.print(""Current angle: "");
    Serial.println(gyro.getYaw());
    delay(50);
  }
}
",False,no error,No labeled error
wrongOperator_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/wrongOperator_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/wrongOperator_solution.cpp,"// Note: partial code shown — see full context in corresponding image
void loop() {
  // Turn right until 90 degrees
  Serial.println(""Turning to 90 degrees..."");

  gyro.update();
  while (gyro.getYaw() < 90) {
    gyro.update();
    leftMotor.run_motor(50);   // Left motor forward
    rightMotor.run_motor(-50); // Right motor backward

    Serial.print(""Current angle: "");
    Serial.println(gyro.getYaw());
    delay(50);
  }
}
",False,no error,No labeled error
wrongcondition.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/wrongcondition.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/wrongcondition.cpp,"// Note: partial code shown — see full context in corresponding image
void loop() {
    int distance = sensor.readDistance();


    if (distance < 300) {
        Serial.println(""Going forward"");
        motor.run_motor(60);
    }
    else {
        Serial.println(""Stopping"");
        motor.stop_motor();
    }

    delay(100);
}
",False,no error,No labeled error
wrongcondition_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/wrongcondition_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/wrongcondition_solution.cpp,"// Note: partial code shown — see full context in corresponding image
    if (distance < 300) {
        Serial.println(""Going forward"");
        motor.stop_motor();
    }
    else {
        Serial.println(""Stopping"");
        motor.run_motor(60);
    }

    delay(100);
}
",False,no error,No labeled error
wrongvariablenames.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/wrongvariablenames.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/wrongvariablenames.cpp,"// write your code here
#include ""Arduino.h""
#include ""SMotor2.h""

SMotor2 motor(2);

int a = 500;
int b = -60;
int c = 60;
int d = 2;
int x = 500;

void setup(){
    pinMode(d, OUTPUT);
    motor.begin();
}

void loop(){
    motor.move_degrees(a,b);
    digitalWrite(d,HIGH);
    delay(x);
    digitalWrite(d, LOW);
    delay(x);
    motor.move_degrees(a,c);
    digitalWrite(d, HIGH);
    delay(x);
    digitalWrite(d, LOW);
    delay(x);
}
",False,no error,No labeled error
wrongvariablenames_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/wrongvariablenames_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/wrongvariablenames_solution.cpp,"// write your code here
#include ""Arduino.h""
#include ""SMotor2.h""

SMotor2 motor(2);

int motorSpeed = 500;           // Speed of motor rotation
int angleClockwise = -60;       // Angle to rotate clockwise
int angleCounterClockwise = 60; // Angle to rotate counter-clockwise
int ledPin = 2;                 // Pin number for LED output
int delayTime = 500;            // Delay time in milliseconds

void setup(){
    pinMode(ledPin, OUTPUT);
    motor.begin();
}

void loop(){
    motor.move_degrees(motorSpeed, angleClockwise);
    digitalWrite(ledPin, HIGH);
    delay(delayTime);
    digitalWrite(ledPin, LOW);
    delay(delayTime);

    motor.move_degrees(motorSpeed, angleCounterClockwise);
    digitalWrite(ledPin, HIGH);
    delay(delayTime);
    digitalWrite(ledPin, LOW);
    delay(delayTime);
}
",False,no error,No labeled error
CSbeginmissing.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/CSbeginmissing.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/CSbeginmissing.cpp,"#include ""ZebraColour.h""

// Create color sensor on port 1
ZebraColour colorSensor(1);

void setup() {
  Serial.begin(115200);
  Serial.println(""Initializing color sensor..."");
  Serial.println(""Sensor ready!"");
  delay(1000);
}

void loop() {
  // Get full color data
  ColourData colorData;
  colorSensor.getFullColourData(colorData);

  // Print detected color
  Serial.print(""Detected Color: "");
  Serial.println(colorSensor.getColourName(colorData.colorID));

  // Print RGB values
  Serial.print(""RGB: ("");
  Serial.print(colorData.r);
  Serial.print("", "");
  Serial.print(colorData.g);
  Serial.print("", "");
  Serial.print(colorData.b);
  Serial.println("")"");
}
",False,no error,No labeled error
CSbeginmissing_Solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/CSbeginmissing_Solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/CSbeginmissing_Solution.cpp,"#include ""ZebraColour.h""

// Create color sensor on port 1
ZebraColour colorSensor(1);

void setup() {
  Serial.begin(115200);
  Serial.println(""Initializing color sensor..."");
  colorSensor.begin();
  Serial.println(""Sensor ready!"");
  delay(1000);
}

void loop() {
  // Get full color data
  ColourData colorData;
  colorSensor.getFullColourData(colorData);

  // Print detected color
  Serial.print(""Detected Color: "");
  Serial.println(colorSensor.getColourName(colorData.colorID));

  // Print RGB values
  Serial.print(""RGB: ("");
  Serial.print(colorData.r);
  Serial.print("", "");
  Serial.print(colorData.g);
  Serial.print("", "");
  Serial.print(colorData.b);
  Serial.println("")"");
}
",False,no error,No labeled error
Color_wrong_color_constant.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/Color_wrong_color_constant.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/Color_wrong_color_constant.cpp,"#include <Arduino.h>
#include <ZebraColour.h>

ZebraColour sensor(3);
ColourData data;
void setup() { Wire.begin(); sensor.begin(); }
void loop() {
  sensor.getFullColourData(data);
  if(data.colorID == 4) {} 
}
",True,colorsensor error,Color wrong color constant error
NoDelayafterInitialisation.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/NoDelayafterInitialisation.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/NoDelayafterInitialisation.cpp,"#include ""ZebraColour.h""

// Create color sensor on port 1
ZebraColour colorSensor(1);

void setup() {
  Serial.begin(115200);
  Serial.println(""Initializing color sensor..."");
  colorSensor.begin();
  Serial.println(""Sensor ready!"");
}

void loop() {
  // Get full color data
  ColourData colorData;
  colorSensor.getFullColourData(colorData);

  // Print detected color
  Serial.print(""Detected Color: "");
  Serial.println(colorSensor.getColourName(colorData.colorID));

  // Print RGB values
  Serial.print(""RGB: ("");
  Serial.print(colorData.r);
  Serial.print("", "");
  Serial.print(colorData.g);
  Serial.print("", "");
  Serial.print(colorData.b);
  Serial.println("")"");
}
",False,no error,No labeled error
